Sent Messages,الرسائل المرسلة
"1. Simple template sending, without parameters, just send a template",١. إرسال قالب بسيط بدون متغيرات — يُرسل القالب كما هو
2. Message based on doctype with parameters,٢. رسالة مبنية على مستند مع متغيرات تُجلب من بياناته
Condition Examples — click to copy:,أمثلة الشروط — اضغط للنسخ:
Only if amount is due,فقط إذا كان هناك مبلغ مستحق
Prevent duplicate sends,منع الإرسال المكرر
Only submitted documents,المستندات المرحّلة فقط
Specific customer group,مجموعة عملاء محددة
Only if total exceeds 1000,فقط إذا تجاوز الإجمالي ١٠٠٠
Only submitted (docstatus check),المرحّلة فقط (فحص حالة المستند)
New WhatsApp Templates,قالب واتساب جديد
Template Label,اسم القالب
Pending,قيد الانتظار
Category,الفئة
For V16 use UTILITY and AUTHENTICATION in place of TRANSACTIONAL and OTP,للإصدار 16 استخدم UTILITY و AUTHENTICATION بدلاً من TRANSACTIONAL و OTP
Language,اللغة
Sample Values,قيم تجريبية
For DocType,لنوع المستند
Field names,أسماء الحقول
Field names to replace the value in templates,أسماء الحقول لاستبدال قيمها في القوالب
Header Type,نوع الترويسة
Footer,التذييل
TRANSACTIONAL,معاملات
MARKETING,تسويق
OTP,رمز تحقق
UTILITY,خدمي
AUTHENTICATION,مصادقة
TEXT,نص
DOCUMENT,مستند
IMAGE,صورة
New WhatsApp Message,رسالة واتساب جديدة
Label,التسمية
Type,النوع
Outgoing,صادرة
Incoming,واردة
Status,الحالة
TO,إلى
Mobile number with country code,رقم الجوال مع رمز الدولة
Use Template,استخدام قالب
Message,الرسالة
Preview,معاينة
Message Type,نوع الرسالة
Manual,يدوي
Content Type,نوع المحتوى
Body Param,متغيرات النص
Is Reply,رد
Reply To Message ID,رد على معرّف الرسالة
Reference DocType,المستند المرجعي
Reference name,اسم المرجع
text,نص
document,مستند
image,صورة
video,فيديو
audio,صوت
flow,تدفق
reaction,تفاعل
location,موقع
contact,جهة اتصال
button,زر
New Bulk WhatsApp Message,رسالة واتساب جماعية جديدة
Title,العنوان
Sender Number,رقم المُرسِل
Min Delay (seconds),أقل تأخير (ثوانٍ)
Max Delay (seconds),أقصى تأخير (ثوانٍ)
Minimum delay in seconds between messages (random delay used),أقل تأخير بالثواني بين الرسائل (يُستخدم تأخير عشوائي)
Maximum delay in seconds between messages (random delay used),أقصى تأخير بالثواني بين الرسائل (يُستخدم تأخير عشوائي)
Recipients,المستلمون
Recipient Type,نوع المستلم
Individual,فردي
Recipient List,قائمة مستلمين
Mobile Number,رقم الجوال
Recipient Name,اسم المستلم
Make sure that Template variables are same as Recipient data fields,تأكد أن متغيرات القالب مطابقة لحقول بيانات المستلم
Variable Type,نوع المتغير
Common,مشترك
Unique,فريد
Template Variables,متغيرات القالب
Attach,إرفاق
Draft,مسودة
Sent Count,عدد المُرسَل
Scheduled Time,الوقت المجدول
Leave empty to send immediately after submission,اتركه فارغاً للإرسال فوراً بعد الترحيل
New WhatsApp Recipient List,قائمة مستلمي واتساب جديدة
Add Test Recipient,إضافة مستلم تجريبي
Validate Recipients,التحقق من المستلمين
List Name,اسم القائمة
Description,الوصف
Import Recipients,استيراد المستلمين
Import From DocType,استيراد من مستند
DocType to Import,المستند المراد الاستيراد منه
Mobile Number Field,حقل رقم الجوال
Field name containing the mobile number,اسم الحقل الذي يحتوي على رقم الجوال
Name Field,حقل الاسم
Field name containing the recipient name (optional),اسم الحقل الذي يحتوي على اسم المستلم (اختياري)
Filters,المرشّحات
Recipient Data,بيانات المستلم
Enabled,مُفعّل
Allow Auto Read Receipt,السماح بإيصال القراءة التلقائي
Token,الرمز
Webhook Verify Token,رمز التحقق للويب هوك
URL,الرابط
Version,الإصدار
Phone ID,معرّف الهاتف
Business ID,معرّف الأعمال
App ID,معرّف التطبيق
Evolution / Instance Settings,إعدادات Evolution / النسخ
Default Server,الخادم الافتراضي
Evolution server used by default when creating new WhatsApp instances.,الخادم المستخدم افتراضياً عند إنشاء نسخ واتساب جديدة.
Max Attachment Size (MB),أقصى حجم للمرفق (ميجابايت)
"Maximum allowed size, in megabytes, for outgoing attachments.",أقصى حجم مسموح به بالميجابايت للمرفقات الصادرة.
Retention Days,أيام الاحتفاظ
Number of days to keep message history before cleanup.,عدد الأيام للاحتفاظ بسجل الرسائل قبل التنظيف.
Asia/Riyadh,آسيا/الرياض
Successfully Sent to,تم الإرسال بنجاح إلى
Sync with Evolution,مزامنة مع Evolution
Syncing with Evolution API...,جاري المزامنة مع Evolution API...
Instance Not Found on Evolution,النسخة غير موجودة على Evolution
"This instance no longer exists on the Evolution server. The record has been kept and reset — use ""Create Instance"" to re-create it under the same name.",لم تعد هذه النسخة موجودة على خادم Evolution. تم الاحتفاظ بالسجل وإعادة تعيينه — استخدم ""إنشاء النسخة"" لإعادة إنشائها بنفس الاسم.
In sync. Connection status: {0},تمت المزامنة. حالة الاتصال: {0}
Sync Instances,مزامنة النسخ
Reconciling instances with Evolution...,جاري مطابقة النسخ مع Evolution...
Sync Complete,اكتملت المزامنة
All {0} instance(s) are in sync.,جميع النسخ ({0}) متزامنة.
"Checked {0} instance(s). {1} no longer exist on Evolution and were reset for re-creation: {2}",تم فحص {0} نسخة. {1} لم تعد موجودة على Evolution وأُعيد تعيينها لإعادة الإنشاء: {2}
Could not reach the Evolution server to sync. Please try again.,تعذّر الوصول إلى خادم Evolution للمزامنة. حاول مرة أخرى.
Sync Failed,فشلت المزامنة
Disconnect,قطع الاتصال
About this screen,عن هذه الشاشة
عن هذه الشاشة,عن هذه الشاشة
How to use this screen,طريقة استخدام هذه الشاشة
طريقة استخدام هذه الشاشة,طريقة استخدام هذه الشاشة
WhatsApp Connected,واتساب متصل
WhatsApp Connecting,واتساب يتصل
WhatsApp Disconnected,واتساب منقطع
